date,year,month,day,Monte_Tmax,Valle_Tmax,Monte_HWintensity,Valle_HWintensity,Monte_HWocc,Valle_HWocc,calendar_day,Monte_pc90,Valle_pc90
1950-05-01,1950,5,1,10.932739,17.928009,,,0.0,0.0,121,13.479248,21.241638
1950-05-02,1950,5,2,11.861694,19.02835,,,0.0,0.0,122,13.6839905,21.385437
1950-05-03,1950,5,3,8.420166,18.303497,,,0.0,0.0,123,13.883362,21.531006
1950-05-04,1950,5,4,8.239258,17.180359,,,0.0,0.0,124,14.077942,21.678284
1950-05-05,1950,5,5,7.8947754,17.457855,,,0.0,0.0,125,14.2682495,21.82724
1950-05-06,1950,5,6,8.662262,17.735535,,,0.0,0.0,126,14.454773,21.977722
1950-05-07,1950,5,7,8.270325,16.980377,,,0.0,0.0,127,14.637878,22.1297
1950-05-08,1950,5,8,8.107025,17.165497,,,0.0,0.0,128,14.817993,22.28302
1950-05-09,1950,5,9,11.967072,19.70581,,,0.0,0.0,129,14.995453,22.437561
1950-05-10,1950,5,10,11.892151,19.895111,,,0.0,0.0,130,15.170532,22.5932
1950-05-11,1950,5,11,9.686157,16.224579,,,0.0,0.0,131,15.343506,22.749817
1950-05-12,1950,5,12,10.695129,18.496155,,,0.0,0.0,132,15.514648,22.907227
1950-05-13,1950,5,13,11.280487,19.481812,,,0.0,0.0,133,15.684082,23.065338
1950-05-14,1950,5,14,8.301361,16.331146,,,0.0,0.0,134,15.85199,23.223938
1950-05-15,1950,5,15,12.222595,19.528595,,,0.0,0.0,135,16.018524,23.382904
1950-05-16,1950,5,16,10.146149,18.799774,,,0.0,0.0,136,16.183807,23.542084
1950-05-17,1950,5,17,7.549713,16.650208,,,0.0,0.0,137,16.34787,23.701263
1950-05-18,1950,5,18,7.1950684,15.302643,,,0.0,0.0,138,16.510773,23.86029
1950-05-19,1950,5,19,9.907654,18.96045,,,0.0,0.0,139,16.672607,24.019012
1950-05-20,1950,5,20,12.91037,20.285461,,,0.0,0.0,140,16.833313,24.177277
1950-05-21,1950,5,21,16.38205,23.610168,,,0.0,0.0,141,16.99295,24.33487
1950-05-22,1950,5,22,14.485596,22.604034,,,0.0,0.0,142,17.151428,24.491638
1950-05-23,1950,5,23,15.014557,23.384277,,,0.0,0.0,143,17.308777,24.64743
1950-05-24,1950,5,24,14.140808,22.71457,,,0.0,0.0,144,17.464905,24.802094
1950-05-25,1950,5,25,14.38681,22.37564,,,0.0,0.0,145,17.619751,24.955414
1950-05-26,1950,5,26,9.215088,19.17276,,,0.0,0.0,146,17.773254,25.1073
1950-05-27,1950,5,27,10.496918,19.171509,,,0.0,0.0,147,17.925323,25.257538
1950-05-28,1950,5,28,10.39093,18.94812,,,0.0,0.0,148,18.075867,25.406006
1950-05-29,1950,5,29,12.98111,20.199554,,,0.0,0.0,149,18.224731,25.552582
1950-05-30,1950,5,30,15.452484,21.70929,,,0.0,0.0,150,18.371887,25.697083
1950-05-31,1950,5,31,13.562897,21.34967,,,0.0,0.0,151,18.517181,25.839386
1950-06-01,1950,6,1,13.924713,20.752686,,,0.0,0.0,152,18.660492,25.9794
1950-06-02,1950,6,2,15.592468,21.365753,,,0.0,0.0,153,18.801697,26.116943
1950-06-03,1950,6,3,16.415771,22.297516,,,0.0,0.0,154,18.940704,26.251953
1950-06-04,1950,6,4,16.009491,22.77475,,,0.0,0.0,155,19.077362,26.384277
1950-06-05,1950,6,5,16.385925,23.453674,,,0.0,0.0,156,19.211548,26.513855
1950-06-06,1950,6,6,16.31427,24.329407,,,0.0,0.0,157,19.34317,26.640594
1950-06-07,1950,6,7,18.435791,25.682404,,,0.0,0.0,158,19.472076,26.764374
1950-06-08,1950,6,8,20.334625,27.403992,,,0.0,0.0,159,19.598175,26.885132
1950-06-09,1950,6,9,19.769226,27.02243,,,0.0,0.0,160,19.721313,27.002838
1950-06-10,1950,6,10,19.144165,26.222778,,,0.0,0.0,161,19.84143,27.11737
1950-06-11,1950,6,11,20.775208,27.215942,,,0.0,0.0,162,19.958435,27.228699
